key,en,ru,pt-br,tr-tr,zh-cn,es-es,de,fr-fr,jp,ko,pl,notes
reac_desc_mana_capacity,"Wands can only hold a limited pool of mana at a time, this can be frustrating for the more advanced magic users among us.\nHowever one way to increase this pool is to infuse the wand with mana.\nConcentrated Mana is too strong to be used directly, but when diluted it can be used to increase the mana capacity of a wand.","Жезлы могут содержать только ограниченный запас маны; это может расстраивать более продвинутых магов.\nОднако один из способов увеличить этот запас — наполнить жезл маной.\nКонцентрированная мана слишком сильна для прямого использования, но в разбавленном виде её можно использовать для увеличения вместимости маны жезла.","As varinhas só podem armazenar uma quantidade limitada de mana por vez, o que pode ser frustrante para os usuários de magia mais avançados entre nós.\nNo entanto, uma maneira de aumentar essa quantidade é infundir mana na varinha.\nO mana concentrado é muito forte para ser usado diretamente, mas quando diluído, pode ser usado para aumentar a capacidade de mana de uma varinha.","Asalar, içerisinde her seferinde yalnızca belirli bir miktarda mana tutabilirler, bu aramızdaki daha üst düzey büyücüler için rahatsızlık verici olabilir.\nAncak bu miktarı arttırmanın bir yolu asayı manayla doyurmaktır.\nYoğunlaştırılmış Mana doğrudan kullanım için fazla güçlüdür ancak seyreltilince bir asanın mana kapasitesini arttırmak için kullanılabilir.",法杖一次只能容纳有限量的法力，这对于我们之中更为进阶的施法者而言可能会很苦恼。\n但是有一种办法可以扩大这个容量，那就是以法力灌注法杖。\n汇聚法力过强无法直接使用，但稀释后可以用来增加法杖的法力容量。,,,,,,,
reac_mana_charge,Mana regeneration,Восстановление маны,Regeneração de mana,Mana Yenilenmesi,法力恢复速度,,,,,,,
reac_desc_mana_charge,Wands refill their mana pool over time by absorbing mana from the surrounding environment.\nA wand can be made more efficient at this by infusing it with Refined Mana.,"Жезлы со временем пополняют свой запас маны, поглощая ману из окружающей среды.\nЖезл можно сделать более эффективным в этом отношении, наполнив его очищенной маной.","As varinhas reabastecem sua reserva de mana ao longo do tempo, absorvendo mana do ambiente ao redor.\nUma varinha pode se tornar mais eficiente nisso ao infundi-la com mana refinado.",Asalar çevredeki manayı içlerine çekerek mana miktarlarını yenilerler.\nBir asa bu durum için Arıtılmış Manayla doyurularak daha verimli hâle getirilebilir.,法杖通过从周围环境吸收法力来逐渐填充自身的法力池。将法杖灌注精炼法力后，其这一过程的效率会提升。,,,,,,,
reac_flux_welding,Flux Welding,Сварка потоком,União por fluxo arcano,Flaks Birleşimi,流体焊接,,,,,,,
reac_desc_flux_welding,"Arcane Flux can be used to weld spells together, this however is a very volatile process and results are variable.\nAlso note that the spell will be more expensive to cast based on what you weld to it.","Тайный поток можно использовать для соединения заклинаний, однако это очень нестабильный процесс, и результаты могут быть разными.\nТакже обратите внимание, что стоимость заклинания увеличится в зависимости от того, что вы к нему приварите.","O fluxo arcano pode ser usado para unir feitiços, porém, este é um processo muito volátil e os resultados são variáveis.\nObserve também que o feitiço irá custar mais mana para ser conjurado com base no que você unir a ele.","Büyülü Flaks, büyüleri birleştirmek için kullanılabilir ancak bu süreç çok istikrarsızdır ve sonuçları değişiklik gösterir.\nAyrıca neyle birleştirdiğinize bağlı olarak bu büyüyü yapmanın daha pahalı hâle gelebileceğini aklınızda bulundurun.",奥术流体可以用来将法术焊接到一起，但这个过程非常不稳定，结果也存在不确定性。\n同时要注意，焊接后法术的施放成本会根据用于焊接的法术增加。,,,,,,,
reac_replicating_agent,Procurement of a Replicating Agent,,Aquisição de um agente de replicação,Yinelenen Maddenin Elde Edinimi,复制剂的制取,,,,,,,
reac_desc_replicating_agent,"By mixing a base, a solvent, and a byproduct of other alchemical processes, you may come across an agent that is able to replicate various materials.",,"Ao misturar uma base, um solvente e um subproduto de outros processos alquímicos, você pode encontrar um agente capaz de replicar vários materiais.","Bir temel sıvıyı, bir çözeltiyi ve başka simya üretimlerinin yan ürünlerini birleştirerek çeşitli maddeleri kopyalayabilen bir maddeye rastlayabilirsiniz.",通过混合一种基底、一种溶剂和一种其他炼金过程的副产品，你可能会获得一种能够复制多种材料的制剂。,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Items!
,,,,,,,,,,,,
item_mm_bingus,Bingus,,Bingus,Bingus,哈基米,,,,,,,name of aforementioned furless 'bingus' cat
item_mm_bingus,Some kind of strange critter.,,Um tipo de bichinho estranho...,Tuhaf türdeki bir canlı,某种奇怪的生物。,,,,,,,
item_mm_can,Can,,Lata,Teneke,罐头,,,,,,,
item_can_with_material,Can of $0,Банка $0,Lata de $0,$0'lık Teneke,$0罐头,,,,,,,
item_can_with_material_description,A Can containing $0,"Банка, содержащая $0",Uma lata contendo $0,$0 içeren bir Teneke,含有$0的罐头,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Alchemy Journal:
item_mm_alchemy_journal,Alchemy Journal,,Diário Alquimico,Simya Günlüğü,炼金术日志,,,,,,,
itemdesc_mm_alchemy_journal,A recipe book of sorts for alchemists.,,Um livro de receitas para alquimistas,Çeşitli türdeki tarifleri simyacılar için anlatan bir kitap.,炼金术士的某种配方书。,,,,,,,
log_mm_lab_note_pickup,A new entry has been added to your Alchemy Journal,В ваш алхимический журнал добавлена новая запись,Um novo registro foi adicionado ao seu Diário Alquimico,Simya Günlüğüne yeni bir not eklendi,你的炼金术日志增加了新的条目,,,,,,,
note_mm_labnote_entry,Lab Note #$0: $1,Лабораторная запись №$0: $1,Nota laboratorial #$0: $1,Laboratuvar Notu #$0: $1,实验笔记$0：$1,,,,,,,
title_mm_alchemist_journal,Alchemy Journal,Алхимический журнал,Diário Alquimico,Simya Günlüğü,炼金术日志,,,,,,,
desc_mm_alchemist_journal,"The journal of an alchemist, who has been studying the arcane arts for a long time. Many pages appear to be torn out..","Журнал алхимика, который долгое время изучал тайные искусства. Многие страницы, кажется, вырваны...",,Uzun süredir gizli zanaatleri araştıran bir simyacının günlüğü. Birçok sayfa koparılmış gibi gözüküyor...,一位炼金术士的日志，他对奥秘之术有许久的研究。许多页好像都被撕掉了...,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Fluent Fluids
,,,,,,,,,,,,
,,,,,,,,,,,,Materials!
mat_ff_water_powder,Dried Water,Высушенная вода,Água seca,Kurutulmuş Su,干燥水,,,,,,,intentionally paradoxical
mat_ff_powder_generic,$0 Powder,Порошок $0,Pó de $0,$0 Toz,$0粉末,,,,,,,
mat_ff_candy_generic,$0 Candy,Конфета $0,Doce de $0,$0 Şeker,$0糖果,,,,,,,
mat_ff_gas_generic,$0 Gas,Газ $0,Gás de $0,$0 Gaz,$0气体,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Terror.
,,,,,,,,,,,,
,,,,,,,,,,,,Materials!
,,,,,,,,,,,,
mat_terror_teleportatium,Terrorportatium,Ужаспортий,Terrortransportácio,Kaoşınlanım,惊悚传送魔药,,,,,,,a pun on the words Terror and Teleportatium. default to 'Terrifying Teleportatium' format if a similar pun/wordplay is not viable
mat_terror_pandorium,Terrifying Pandorium,Ужасающий пандориум,Pandório aterrorizante,Korkutucu Pandoram,惊悚潘多拉魔药,,,,,,,
mat_terror_water,Terrifying Water,Ужасающая вода,Água aterrorizante,Korkutucu Su,惊悚水,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Status Effects!
,,,,,,,,,,,,
status_terror_teleport,Dangerous Relocation,Опасное перемещение,Realocação perigosa,Tehlikeli Yer Değişimi,危险传送,,,,,,,
status_desc_terror_teleport,You feel as though the universe is out to get you,"Вы чувствуете, что вселенная хочет вас достать",Você sente como se o universo está atrás de te pegar,Evren peşindeymiş gibi hissediyorsun,你感觉宇宙要来取走你的性命了,,,,,,,
status_terror_vomit_spells,Terrible Meal!,Ужасная трапеза!,Péssima refeição!,Berbat Öğün!,糟透的一餐！,,,,,,,
status_desc_terror_vomit_spells,This was an awful idea!\nSuffer.,Это была ужасная идея!\nСтрадай.,Isso foi uma péssima ideai!\nSofra.,Bu berbat bir fikirdi!\nIzdırap.,这主意糟透了！\n受死吧。,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Items!
,,,,,,,,,,,,
item_runestone_terror,Runestone of Terror,Рунный камень ужаса,Pedra rúnica de terror,Kaos Runik Taşı,惊悚符石,,,,,,,
itemdesc_runestone_terror,You feel as though dropping this would be a terrible idea...,"Вам кажется, что бросать это — плохая идея...",Você sente que deixar isso cair seria uma péssima ideia...,Bunu yere düşürmenin berbat bir fikir olacağını düşünüyorsun...,你感觉放下这东西将会是个非常糟糕的主意...,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Misc!
,,,,,,,,,,,,
animal_random_spell_terror,Terrifying Pandorium,Ужасающий пандориум,Pandório aterrorizante,,惊悚潘多拉魔药,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Compatibility
,,,,,,,,,,,,
action_name_aa_glimmer_chaotic_pandorium,Chaotic Pandorium Glimmer,,,,,,,,,,,
action_desc_aa_glimmer_chaotic_pandorium,Gives a projectile a chaotic sparkly trail,,,,,,,,,,,
action_name_aa_glimmer_condensed_gravity,Condensed Gravity Glimmer,,,,,,,,,,,
action_desc_aa_glimmer_condensed_gravity,Gives a projectile a heavy sparkly trail,,,,,,,,,,,
action_name_aa_glimmer_dark_matter,Dark Matter Glimmer,,,,,,,,,,,
action_desc_aa_glimmer_dark_matter,Gives a projectile a cosmic sparkly trail,,,,,,,,,,,
action_name_aa_glimmer_static_charge,Static Charge Glimmer,,,,,,,,,,,
action_desc_aa_glimmer_static_charge,Gives a projectile a electrifying sparkly trail,,,,,,,,,,,
action_name_cc_glimmer_hydroxide,Hydroxide Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_hydroxide,Gives a projectile a corrosive sparkly trail,,,,令投射物留下腐蚀性的闪光轨迹,,,,,,,
action_name_cc_glimmer_slicing_liquid,Slicing Liquid Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_slicing_liquid,Gives a projectile a silvery sparkly trail,,,,令投射物留下银色的闪光轨迹,,,,,,,
action_name_cc_glimmer_glittering_liquid,Glittering Liquid Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_glittering_liquid,Gives a projectile a glittering sparkly trail,,,,令投射物留下充满光耀的闪光轨迹,,,,,,,
action_name_cc_glimmer_explode_player,Agitine Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_explode_player,Gives a projectile an agitating sparkly trail,,,,令投射物留下激发性的闪光轨迹,,,,,,,
action_name_cc_glimmer_nullium,Nullium Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_nullium,Gives a projectile a degenerative sparkly trail,,,,令投射物留下恶化的闪光轨迹,,,,,,,degenerate as in the opposite of regenerate
action_name_cc_glimmer_dormant_crystal,Dormant Crystal Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_dormant_crystal,Gives a projectile a volatile sparkly trail,,,,令投射物留下易发散的闪光轨迹,,,,,,,
action_name_cc_glimmer_uranium,Uranium Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_uranium,Gives a projectile a radioactive sparkly trail,,,,令投射物留下放射性的闪光轨迹,,,,,,,
action_name_cc_glimmer_antimatter,Anti-Matter Glimmer,,,,,,,,,,,
action_desc_cc_glimmer_antimatter,Gives a projectile an annihilative sparkly trail,,,,令投射物留下湮灭的闪光轨迹,,,,,,,
tcl_aa_pandorium_scary,Chaotic/Unstable Pandorium,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Misc
,,,,,,,,,,,,just misc stuff referring to the name of the mod/developers working on it as well as other misc stuff
,,,,,,,,,,,,
name_mod_cc_global,Chemical Curiosities,,,Kimyevi Arzular,,,,,,,,up to interpretation
cc_branch_name_aa,Arcane Alchemy,,,Büyülü Kimya,,,,,,,,up to interpretation
cc_branch_name_cc,Chemical Curiosities,,,Kimyevi Arzular,,,,,,,,up to interpretation
cc_branch_name_mm,Mystical Mixtures,,,Gizemli Karışımlar,,,,,,,,up to interpretation
cc_branch_name_ff,Fluent Fluids,,,Büyülü Sıvılar,,,,,,,,up to interpretation
cc_branch_name_t,Terror.,,,Kaos,,,,,,,,up to interpretation
,,,,,,,,,,,,
cc_name_evaisa,Evaisa,,,,,,,,,,,
cc_name_squirrelly,Squirrelly,,,,,,,,,,,
cc_name_userk,UserK,,,,,,,,,,,
cc_name_alexgod,Alex(GoD),,,,,,,,,,,
cc_name_lamia,Lamia,,,,,,,,,,,
cc_name_absent_friend,Absent Friend,,,,,,,,,,,
cc_name_dylan_rhodes,Dylan Rhodes Taha,,,,,,,,,,,
cc_name_singularity_neko,SingularityNeko,,,,,,,,,,,
,,,,,,,,,,,,add yourself here!
